,Loan_ID,Name,Las_Name,Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ZIP,Primary City,latitude,longitude
166,LP001241,Amador,Collins,Male,25,No,0,Graduate,No,2144,1362.5132038596046,123.13516346938162,360.0,1.0,Urban,Y,33149,Miami,25.79,-80.28
169,LP002377,Pierre,Wilson,Male,28,Yes,2,Graduate,No,1755,752.8395583791216,155.3217269106594,360.0,1.0,Rural,Y,33135,Hialeah,25.96,-80.47
170,LP001603,Santiago,Gonzalez,Female,23,Yes,2,Graduate,No,901,2781.4176600183036,187.28506253290257,360.0,1.0,Rural,N,33136,Miami,25.9,-80.4
171,LP002296,Jessica,Rogers,Male,31,Yes,2,Graduate,Yes,2240,2249.5549675613647,157.93265495103455,360.0,1.0,Semiurban,Y,33137,Miami,25.85,-80.3
173,LP002868,Frank,Parker,Male,30,No,1,Graduate,No,974,2146.3338980910185,108.59253109107622,360.0,1.0,Semiurban,Y,33126,Miami,25.71,-80.14
178,LP002714,Kelvin,Taylor,Male,21,No,0,Graduate,No,2861,3820.865272209835,101.70744363409932,360.0,1.0,Semiurban,Y,33167,Miami,25.64,-80.41
179,LP002571,Raul,Fisher,Male,23,No,2,Graduate,No,1689,2555.8548633898067,141.22046645492333,180.0,0.0,Rural,Y,33056,Miami,25.93,-80.15
181,LP001924,Emily,Rivera,Male,51,No,0,Graduate,No,1678,2829.771973897767,166.79775551386138,360.0,1.0,Semiurban,N,33150,Miami,25.7,-80.34
183,LP002119,Florencio,Lawson,Female,24,No,2,Graduate,No,1575,1824.9817760013118,109.09477010845941,180.0,0.0,Semiurban,Y,33122,Miami Beach,25.65,-80.51
186,LP001751,Christina,Lambert,Male,42,Yes,0,Graduate,No,5492,872.8517637080062,135.84084433339038,360.0,1.0,Semiurban,Y,33185,Miami,25.82,-80.4
189,LP002053,Patrick,Sanchez,Female,22,No,1,Graduate,Yes,1136,2985.2964718089293,121.33728456089719,360.0,1.0,Semiurban,Y,33143,Miami,25.81,-80.41
190,LP002225,Florentino,Pope,Female,33,Yes,3+,Not Graduate,No,1140,2862.6264902096445,123.02084562148137,180.0,1.0,Semiurban,Y,33140,Miami,25.7,-80.27
191,LP002255,Grant,Walker,Male,21,Yes,0,Not Graduate,No,1669,4095.74522286161,202.28913817660927,360.0,1.0,Urban,Y,33144,Miami,25.86,-80.26
194,LP002390,Hayden,Rivera,Male,43,Yes,0,Graduate,No,1322,686.646063623286,148.3228141235728,360.0,1.0,Rural,Y,33190,Miami,25.85,-80.13
196,LP001947,Preston,Rivera,Female,37,No,0,Graduate,No,1786,2764.5918910478244,219.1818666987034,360.0,1.0,Rural,Y,33139,Miami,25.5,-80.18
197,LP001379,Carmen,Price,Male,28,No,0,Graduate,No,3697,2450.9711998214857,187.04706047562246,360.0,1.0,Rural,N,33170,Hialeah,25.83,-80.47
201,LP001824,Fabian,Maxwell,Male,26,No,0,Graduate,No,2570,1834.331753241033,116.81602950535496,360.0,1.0,Semiurban,Y,33158,Miami,25.78,-80.18
203,LP001935,Jesse,Morris,Male,46,No,0,Graduate,No,2522,1142.4212115785035,159.3587752048806,360.0,1.0,Semiurban,Y,33137,Miami,25.77,-80.36
204,LP001872,Grayson,Flores,Male,22,Yes,0,Graduate,No,2031,2780.172145042733,146.54434228784916,360.0,1.0,Semiurban,N,33127,Miami Beach,25.46,-80.51
205,LP002181,Jade,Bryant,Male,28,No,0,Graduate,No,1133,2507.836110810571,174.3067013403258,360.0,1.0,Semiurban,N,33132,Homestead,25.81,-80.24
208,LP001275,Adrian,Rivera,Male,26,No,0,Graduate,No,2107,1579.125705979813,129.40148680310165,360.0,1.0,Urban,Y,33187,Miami,25.81,-80.28
209,LP001630,Jack,Morris,Female,33,Yes,1,Graduate,No,881,3935.36302807401,151.52111024124883,360.0,1.0,Rural,N,33176,Miami,25.75,-80.3
210,LP002455,Genesis,Henderson,Female,26,No,3+,Graduate,No,844,1500.8792829848676,163.59744087187414,360.0,1.0,Rural,Y,33035,Homestead,25.9,-80.3
212,LP002367,Arnold,Parker,Male,46,No,0,Not Graduate,No,1309,1607.5436417711855,124.36057701324333,360.0,1.0,Semiurban,N,33180,Miami,25.73,-80.14
215,LP001819,Matias,Alexander,Male,22,No,2,Not Graduate,No,3472,1303.4095673780869,203.6166240076811,360.0,0.0,Urban,Y,33161,Miami,25.81,-80.5
217,LP002229,Catherine,Parker,Male,42,No,0,Graduate,No,765,2602.8472905492154,94.11125089617084,360.0,1.0,Urban,Y,33101,Miami,25.93,-80.36
219,LP001205,Wilson,Parker,Female,37,No,0,Graduate,No,1016,1091.116726144558,230.0946538922131,360.0,1.0,Rural,Y,33176,Miami,25.82,-80.34
221,LP002743,Angel,Alexander,Male,23,Yes,0,Graduate,No,1467,2720.2234532278258,301.1171907311835,360.0,1.0,Rural,Y,33101,Miami,25.92,-80.24
229,LP001849,Martin,Carter,Male,31,No,0,Graduate,No,1204,1957.5663106924512,142.35682043931067,360.0,1.0,Rural,Y,33173,Miami,25.56,-80.24
230,LP002407,Theodore,Bailey,Male,21,Yes,0,Graduate,No,2023,1828.9077356793339,308.4622320757145,360.0,1.0,Urban,N,33172,Hialeah,25.86,-80.16
235,LP002277,Sheldon,Griffin,Male,25,No,0,Graduate,No,1433,2013.7261303607609,299.1434739924716,360.0,1.0,Semiurban,N,33178,Hialeah,25.66,-80.4
239,LP002287,Trevor,Rivera,Male,23,No,0,Graduate,No,3105,2001.4728771099672,150.10189277923928,360.0,1.0,Urban,Y,33144,Miami,25.56,-80.36
240,LP002652,Mario,Howard,Female,26,No,1,Graduate,No,2848,1481.0808728383947,109.52201416399956,360.0,1.0,Rural,Y,33167,Miami,25.85,-80.27
241,LP001013,Hunter,Blake,Female,21,Yes,3+,Graduate,No,1022,2051.8094494986703,104.0248544287421,360.0,0.0,Urban,N,33010,Miami,25.7,-80.23
242,LP001603,Harper,Riley,Male,41,No,0,Graduate,No,3648,2092.121051008147,283.1598964498287,360.0,1.0,Semiurban,Y,33054,Miami,25.78,-80.3
244,LP001535,Erin,Graham,Male,39,Yes,0,Not Graduate,No,1511,3342.1572234045207,152.1717297445785,360.0,1.0,Semiurban,Y,33033,Miami,25.68,-80.16
247,LP002051,Felipe,Scott,Male,46,Yes,0,Not Graduate,No,3896,3301.1681586309687,103.53368275638631,360.0,0.0,Semiurban,Y,33176,Miami,25.76,-80.49
248,LP001131,Walter,Brown,Male,44,No,0,Graduate,No,3950,2419.2021962841445,144.43072210634094,360.0,0.0,Rural,Y,33015,Miami,25.48,-80.24
249,LP002467,James,Phillips,Male,29,No,0,Graduate,No,2149,1971.7399937411747,198.3073950554092,360.0,1.0,Semiurban,Y,33167,Miami,25.95,-80.32
250,LP002347,Marc,Ward,Male,20,Yes,0,Not Graduate,No,1747,1579.0462639750863,104.67870803505865,360.0,0.0,Rural,Y,33168,Homestead,25.76,-80.26
251,LP001259,Blaine,Rivera,Male,27,No,2,Not Graduate,No,797,3084.9344644371727,138.48568577509144,360.0,0.0,Rural,Y,33160,Miami,25.68,-80.49
253,LP002345,Mariano,Mitchell,Male,35,No,0,Graduate,No,1260,1715.684816372831,109.0737521413452,480.0,1.0,Semiurban,Y,33012,Miami,25.88,-80.17
255,LP002723,Esther,Parker,Male,23,No,3+,Graduate,No,2072,1212.9075724010668,170.2219546622973,360.0,1.0,Semiurban,N,33137,Miami,25.77,-80.38
257,LP002785,Andrew,Stewart,Male,22,No,1,Graduate,Yes,1002,1112.7906004738916,99.97314760910302,180.0,1.0,Rural,Y,33155,Miami,25.61,-80.36
258,LP001531,Gerardo,Bailey,Male,30,Yes,0,Graduate,No,1429,1691.5637213007653,220.8962742976517,360.0,1.0,Semiurban,Y,33176,Miami,25.68,-80.41
269,LP002626,Leopoldo,Parker,Male,23,No,0,Graduate,No,1230,1662.8224682298471,102.48641731835104,360.0,1.0,Urban,Y,33157,Miami,25.77,-80.47
275,LP001275,Vincent,Reed,Male,31,Yes,3+,Graduate,No,1120,1580.2837545057348,186.38139889350973,360.0,1.0,Rural,Y,33135,Miami,25.49,-80.34
276,LP002181,Owen,Tyler,Male,47,No,0,Graduate,No,1280,2100.8020166483166,129.45995512549987,360.0,0.0,Rural,N,33018,Hialeah,25.52,-80.2
282,LP002739,Cesar,Alexander,Female,25,No,0,Graduate,No,1529,2383.9105330120824,95.86014020263623,240.0,1.0,Urban,Y,33146,Opa Locka,25.48,-80.28
290,LP001018,Stephen,Lynch,Male,30,Yes,0,Graduate,No,5700,2717.868666618514,137.2134842462217,360.0,1.0,Rural,Y,33054,Miami,25.82,-80.35
291,LP002740,Kevin,Brown,Male,35,Yes,0,Graduate,No,1026,1982.6524515308797,217.72886080206845,360.0,1.0,Semiurban,N,33143,Miami,25.85,-80.24
293,LP002545,Bennett,Clark,Male,52,No,0,Graduate,No,1992,1006.4251598311441,129.9143763146795,360.0,1.0,Urban,Y,33178,Miami,25.48,-80.17
296,LP001910,Deborah,Griffin,Male,26,No,0,Graduate,No,2372,2155.079059290563,119.43066807652741,360.0,1.0,Rural,N,33190,Miami,25.66,-80.41
300,LP001616,Daphne,Alexander,Male,21,No,0,Not Graduate,No,1907,1406.4508929685885,139.8793557818645,360.0,1.0,Urban,Y,33146,Miami,25.68,-80.4
309,LP001641,Casey,Parker,Male,21,No,0,Graduate,No,1576,2469.9595405306377,103.9177537726332,360.0,1.0,Semiurban,Y,33187,Miami Beach,25.64,-80.38
311,LP001384,Alexis,Wallace,Male,38,No,0,Graduate,Yes,2054,1089.9989311715428,100.17982354430575,360.0,0.0,Rural,Y,33030,Key Biscayne,25.93,-80.45
312,LP001882,Liam,Perry,Female,43,No,0,Graduate,No,2784,967.7646559964207,180.07702886180908,360.0,1.0,Urban,Y,33157,Miami,25.9,-80.17
315,LP002541,Cesar,Bennett,Male,49,Yes,1,Graduate,No,2478,1062.0584245079583,155.85004578903857,480.0,0.0,Semiurban,Y,33170,Miami,25.61,-80.15
320,LP001008,Jack,Flores,Male,33,No,0,Not Graduate,No,1359,1623.6260677385023,161.0790622262868,360.0,1.0,Urban,N,33175,Opa Locka,25.89,-80.2
321,LP002181,Maxwell,Rivera,Male,34,Yes,2,Graduate,No,1948,2099.5918697922507,93.44357046318339,360.0,0.0,Urban,Y,33167,Miami,25.56,-80.14
323,LP002035,Marc,Roberts,Male,45,No,0,Graduate,No,1681,2186.4661759671844,125.10999130962085,360.0,1.0,Urban,Y,33187,Miami,25.9,-80.24
324,LP002224,Horacio,Brooks,Male,19,No,0,Not Graduate,No,1358,1648.2124067819955,145.71566122895737,360.0,1.0,Rural,Y,33175,Miami,25.67,-80.51
325,LP002328,Fiona,Martinez,Female,25,No,0,Not Graduate,No,1978,2228.8200441306617,142.74174844165483,360.0,0.0,Rural,Y,33039,Miami,25.82,-80.14
327,LP002367,Pedro,Dawson,Male,23,No,0,Graduate,No,1127,1854.1906722443555,139.81521287620825,360.0,0.0,Urban,N,33010,Miami,25.91,-80.19
329,LP001616,Lucas,Hogan,Male,34,No,1,Graduate,No,2162,2146.501893753994,169.1735399787961,360.0,1.0,Rural,N,33130,North Miami Beach,25.96,-80.21
335,LP002266,Jane,Hayes,Male,38,No,0,Graduate,Yes,1205,2110.1110168584173,100.98292016320713,360.0,1.0,Rural,Y,33168,Miami,25.56,-80.2
336,LP002945,Grover,Collins,Male,22,No,3+,Graduate,Yes,2270,3121.8059811452213,116.94705374156594,360.0,1.0,Semiurban,Y,33140,Miami,25.78,-80.49
339,LP001955,Felipe,Collins,Male,23,No,0,Graduate,No,1068,2449.959635266543,197.3152973240732,360.0,1.0,Urban,Y,33183,Miami,25.92,-80.29
346,LP002741,Amber,Parker,Male,37,No,1,Graduate,No,1302,1802.2019701521817,155.3799740827074,360.0,1.0,Urban,Y,33109,Miami,25.75,-80.23
353,LP002004,Jesus,Collins,Male,25,Yes,0,Graduate,No,1077,1693.414337985721,107.85189386395356,360.0,1.0,Rural,Y,33162,Homestead,25.81,-80.41
354,LP001024,Gerardo,Reed,Male,21,No,1,Graduate,No,4018,3204.77141659811,97.48938660369492,360.0,1.0,Rural,N,33187,Miami,25.81,-80.35
355,LP002556,Generoso,Phillips,Male,25,No,0,Graduate,Yes,1816,1704.6618174274263,125.16000447153841,360.0,1.0,Semiurban,Y,33184,Miami,25.81,-80.41
358,LP001199,Gustavo,Hernandez,Male,27,No,1,Graduate,No,1290,2227.2978826312947,181.37726232755446,360.0,1.0,Semiurban,N,33055,Miami,25.94,-80.2
360,LP001013,Wilson,Walker,Female,35,No,0,Graduate,No,879,2153.0468685985747,96.79466408562232,360.0,0.0,Semiurban,N,33055,Miami,25.96,-80.29
362,LP001925,Preston,Parker,Male,42,Yes,0,Graduate,No,1783,2363.5155828888965,128.6796514254899,360.0,1.0,Rural,Y,33156,Hialeah,25.76,-80.18
363,LP001086,Carmen,Brooks,Female,22,No,3+,Graduate,No,1813,1412.1784617410967,95.28270370485085,360.0,1.0,Rural,N,33010,Key Biscayne,25.75,-80.27
366,LP001195,Terence,Hayes,Male,27,No,0,Graduate,Yes,3260,3118.847237364552,101.50579666178606,360.0,1.0,Rural,Y,33169,Miami,25.96,-80.26
367,LP001157,Abigail,Coleman,Male,52,Yes,0,Graduate,No,1471,830.0890425055289,227.52677839133426,360.0,1.0,Rural,Y,33165,Miami,25.96,-80.2
369,LP002820,Angela,Torres,Male,48,Yes,0,Not Graduate,No,2652,1499.7262913732927,99.88647768439694,360.0,0.0,Semiurban,Y,33122,Homestead,25.79,-80.2
372,LP001531,Erica,Lawson,Male,34,No,0,Graduate,No,2922,2739.164142837736,130.01301400828282,360.0,1.0,Semiurban,Y,33018,Miami,25.7,-80.26
373,LP001367,Jonathan,Bryant,Male,38,Yes,0,Graduate,No,6117,1563.07442394307,110.46256615374386,360.0,1.0,Semiurban,Y,33138,Miami,25.76,-80.24
375,LP002288,Mario,Reed,Male,26,Yes,0,Graduate,No,4199,1531.443270492046,105.24954659935216,360.0,1.0,Semiurban,N,33181,Miami,25.67,-80.16
377,LP001931,Hunter,Flores,Female,36,Yes,0,Graduate,Yes,979,2385.2509959114186,136.30709273764256,360.0,0.0,Rural,Y,33054,Miami,25.9,-80.28
378,LP001024,Christine,Clark,Male,33,Yes,1,Graduate,No,1752,1499.673163491725,133.43601118606338,360.0,1.0,Semiurban,N,33180,Key Biscayne,25.9,-80.41
380,LP002328,Isaac,Patterson,Male,43,No,2,Graduate,No,1565,871.0333336459391,107.08447082646707,360.0,1.0,Urban,Y,33173,Miami,25.86,-80.4
382,LP002953,Nelson,Rivera,Male,32,Yes,0,Graduate,No,1943,1126.7038978551316,137.42170377189106,360.0,1.0,Urban,Y,33149,Miami,25.94,-80.38
383,LP002429,Allison,Parker,Male,24,Yes,0,Graduate,No,1069,3105.32370147432,123.81011867915264,360.0,1.0,Semiurban,Y,33126,Miami,25.76,-80.18
388,LP002098,Fabian,Bryant,Male,24,Yes,1,Graduate,No,3343,3519.569863178533,132.55211785313293,360.0,1.0,Rural,N,33144,Miami,25.6,-80.24
391,LP002086,Genesis,Gonzalez,Male,38,Yes,2,Graduate,No,2984,2715.088093096306,124.33077458434377,36.0,1.0,Rural,Y,33155,Opa Locka,25.93,-80.41
393,LP001836,Oscar,Riley,Male,27,No,0,Graduate,No,1060,1561.8100893730889,104.32570557396505,360.0,0.0,Semiurban,Y,33128,Miami,25.76,-80.16
394,LP001711,Gustavo,Morales,Male,21,No,0,Graduate,No,2523,2870.1813455847055,115.80778153110705,360.0,1.0,Semiurban,Y,33016,Homestead,25.27,-80.15
395,LP002543,Jonas,Ruiz,Male,43,No,0,Not Graduate,No,6590,1750.333285199078,173.71989046922585,360.0,1.0,Semiurban,Y,33039,Miami,25.83,-80.13
396,LP002126,Virgil,Parker,Male,33,No,1,Graduate,No,1452,2049.41307482629,98.60084683232292,360.0,0.0,Semiurban,N,33185,Hialeah,25.81,-80.36
397,LP001790,Jonathan,Parker,Female,21,Yes,1,Graduate,Yes,1591,2767.656968319914,97.07526578294951,360.0,1.0,Rural,N,33143,Miami,25.9,-80.18
398,LP001384,Tony,Daniels,Male,27,No,0,Graduate,No,2097,1674.2277556316826,142.2652013452808,360.0,1.0,Rural,Y,33150,Miami,25.64,-80.51
400,LP001241,Blaine,Bryant,Male,49,Yes,0,Not Graduate,No,980,3103.9366117931927,175.03803370293636,360.0,1.0,Rural,Y,33160,Miami,25.77,-80.21
