Order ID,Order Date,Order Priority,Order Quantity,Discount,Ship Mode,Unit Price,Shipping Cost,Customer Name,Customer State,Zip Code,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin
66,1/20/2016,Low,41,0.09,Regular Air,2.88,0.7,Arthur Gainer,North Carolina,27006,South,Consumer,Office Supplies,Pens & Art Supplies,Newell 340,Wrap Bag,0.56
69,6/4/2016,Not Specified,42,0.09,Regular Air,30.93,3.92,Jonathan Doherty,Ohio,43567,Central,Corporate,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Small Pack,0.44
69,6/4/2016,Not Specified,28,0.03,Express Air,1.68,0.7,Jonathan Doherty,Ohio,43567,Central,Corporate,Office Supplies,Pens & Art Supplies,Newell 308,Wrap Bag,0.6
70,12/17/2017,Low,46,0.05,Regular Air,205.99,5.99,Helen Wasserman,North Carolina,27006,South,Home Office,Technology,Telephones and Communication,3285,Small Box,0.59
70,12/17/2017,Low,48,0.03,Regular Air,1.86,2.58,Helen Wasserman,North Carolina,27006,South,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,0.82
96,4/17/2016,High,37,0.01,Regular Air,125.99,8.99,Keith Dawkins,Texas,73301,Central,Home Office,Technology,Telephones and Communication,SC7868i,Small Box,0.55
97,1/29/2017,Medium,26,0.03,Regular Air,2.89,0.5,Craig Yedwab,Arizona,85354,West,Consumer,Office Supplies,Labels,Avery 498,Small Box,0.38
129,11/19/2019,Low,4,0.09,Regular Air,6.48,8.19,Pauline Chand,Connecticut,6439,East,Corporate,Office Supplies,Paper,Xerox 217,Small Box,0.37
130,5/8/2019,High,29,0.02,Regular Air,18.97,9.03,Roy Collins,Florida,32003,South,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37
130,5/8/2019,High,3,0.05,Express Air,150.98,13.99,Roy Collins,Florida,32003,South,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box,0.38
130,5/8/2019,High,23,0.05,Regular Air,9.71,9.45,Roy Collins,Florida,32003,South,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,0.6
132,6/10/2017,Medium,27,0.03,Regular Air,7.99,5.03,Emily Phan,Maryland,21290,South,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6
132,6/10/2017,Medium,30,0.05,Delivery Truck,130.98,54.74,Emily Phan,Maryland,21290,South,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69
134,5/1/2019,Not Specified,11,0.01,Regular Air,95.99,35,Michael Dominguez,Colorado,81221,West,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,0.82
135,10/20/2018,Not Specified,25,0.09,Regular Air,4.98,4.62,Anne Pryor,Ohio,43054,Central,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.64
166,9/11/2018,High,10,0.02,Express Air,65.99,8.99,Valerie Takahito,Utah,84001,West,Consumer,Technology,Telephones and Communication,i270,Small Box,0.55
193,8/7/2017,Critical,14,0.06,Regular Air,12.44,6.27,Justin Hirsh,Arizona,85231,West,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57
194,4/5/2019,Medium,49,0.1,Regular Air,7.28,7.98,Maria Zettner,Georgia,30002,South,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42
194,4/5/2019,Medium,6,0.04,Regular Air,3.14,1.92,Maria Zettner,Georgia,30002,South,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84
195,12/27/2017,Medium,34,0.03,Regular Air,36.55,13.89,Brad Thomas,Connecticut,6074,East,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41
197,4/6/2018,High,23,0.01,Regular Air,12.98,3.14,Penelope Sewall,Ohio,45999,Central,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Small Pack,0.6
224,6/18/2016,Not Specified,25,0.09,Regular Air,7.38,5.21,Bart Folk,Connecticut,6439,East,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56
224,6/18/2016,Not Specified,33,0.04,Regular Air,15.42,10.68,Bart Folk,Connecticut,6439,East,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58
224,6/18/2016,Not Specified,44,0.04,Regular Air,5.98,5.15,Bart Folk,Connecticut,6439,East,Corporate,Office Supplies,Paper,Xerox 193,Small Box,0.36
225,5/24/2018,Critical,24,0.06,Regular Air,5.58,0.7,Karen Ferguson,North Carolina,27801,South,Home Office,Office Supplies,Pens & Art Supplies,Newell 314,Wrap Bag,0.6
225,5/24/2018,Critical,1,0.05,Regular Air,19.84,4.1,Karen Ferguson,North Carolina,27801,South,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44
229,12/28/2017,Critical,24,0.02,Regular Air,24.92,12.98,Peter Fuller,Georgia,39901,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39
229,12/28/2017,Critical,43,0.11,Regular Air,12.64,4.98,Matt Abelman,Mass,2139,East,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48
230,10/26/2017,Critical,47,0.06,Regular Air,43.98,8.99,Erin Creighton,Texas,77474,Central,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58
230,10/26/2017,Critical,11,0.06,Regular Air,125.99,8.08,Erin Creighton,Texas,77474,Central,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.57
231,9/29/2016,High,2,0.06,Regular Air,363.25,19.99,Sean Braxton,Illinois,62999,Central,Small Business,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.57
258,12/28/2017,Critical,7,0,Delivery Truck,20.98,53.03,Liz Willingham,North Carolina,27010,South,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78
258,12/28/2017,Critical,21,0,Regular Air,6.48,8.74,Liz Willingham,North Carolina,27010,South,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.36
258,12/28/2017,Critical,33,0.02,Regular Air,6.54,5.27,Liz Willingham,North Carolina,27010,South,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.36
261,6/28/2017,Medium,47,0.04,Regular Air,140.99,4.2,Sonia Sunley,Michigan,49971,Central,Small Business,Technology,Telephones and Communication,7160,Small Box,0.59
263,5/17/2016,High,25,0.09,Regular Air,5.4,7.78,Paul Lucas,California,96061,West,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,0.37
290,1/1/2016,Not Specified,24,0.05,Regular Air,7.64,5.83,Dorris Love,North Carolina,28717,South,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.36
292,1/12/2019,High,43,0.08,Regular Air,9.9,1.39,Valerie Takahito,Utah,84001,West,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37
293,10/2/2019,High,49,0.07,Delivery Truck,208.16,68.02,Barry French,Michigan,49634,Central,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58
293,10/2/2019,High,27,0.01,Regular Air,8.69,2.99,Barry French,Michigan,49634,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39
294,7/15/2017,Medium,35,0.06,Regular Air,193.17,19.99,Sanjit Chand,Michigan,49634,Central,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.71
322,3/19/2019,Critical,20,0.08,Regular Air,155.99,8.08,Giulietta Weimer,Arizona,86409,West,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6
322,3/19/2019,Critical,46,0.1,Regular Air,6.48,10.05,Giulietta Weimer,Arizona,86409,West,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.37
323,3/26/2016,Critical,2,0.06,Regular Air,22.84,11.54,Dario Medina,Arizona,85060,West,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,0.39
323,3/26/2016,Critical,20,0.07,Regular Air,5.68,1.39,Dario Medina,Arizona,85060,West,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,0.38
324,3/20/2019,Critical,25,0.02,Regular Air,179.99,13.99,Frank Gastineau,Idaho,83810,West,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.57
325,10/16/2017,Low,9,0.06,Regular Air,115.99,4.23,Craig Yedwab,Arizona,85354,West,Corporate,Technology,Telephones and Communication,282,Small Box,0.56
326,6/3/2018,High,34,0.03,Regular Air,5.99,4.92,Michelle Tran,Idaho,83465,West,Consumer,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",Small Box,0.38
326,6/3/2018,High,17,0.05,Regular Air,5.81,3.37,Michelle Tran,Idaho,83465,West,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54
353,12/30/2017,Low,21,0.02,Regular Air,2.21,1,Dean Percer,Florida,32099,South,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,0.38
355,6/14/2016,Low,16,0,Regular Air,85.99,0.99,Henry MacAllister,Texas,77037,Central,Small Business,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85
358,9/19/2017,High,33,0.07,Regular Air,39.48,1.99,Ricardo Block,Alabama,36350,South,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54
358,9/19/2017,High,33,0.02,Delivery Truck,48.58,54.11,Ricardo Block,Alabama,36350,South,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.69
359,12/19/2016,Medium,30,0.08,Delivery Truck,124.49,51.94,Cari Sayre,Idaho,83877,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box,0.63
384,3/3/2019,Low,50,0.02,Delivery Truck,146.05,80.2,Sonia Cooley,Connecticut,6817,East,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,0.71
386,1/24/2018,High,4,0.09,Regular Air,3.85,0.7,Tracy Poddar,Idaho,83465,West,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,0.44
386,1/24/2018,High,4,0.02,Regular Air,3.69,0.5,Tracy Poddar,Idaho,83465,West,Corporate,Office Supplies,Labels,Avery 501,Small Box,0.38
388,12/16/2019,Not Specified,46,0.06,Regular Air,11.7,6.96,Jennifer Halladay,Connecticut,6439,East,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5
416,9/26/2017,Low,20,0.01,Express Air,65.99,7.69,Stuart Calhoun,Utah,84337,West,Consumer,Technology,Telephones and Communication,5190,Small Box,0.59
417,2/6/2016,Medium,39,0.07,Delivery Truck,500.98,28.14,Robert Barroso,California,96121,West,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,0.38
417,2/6/2016,Medium,3,0.1,Regular Air,178.47,19.99,Robert Barroso,California,96121,West,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,0.55
420,10/30/2018,Not Specified,8,0.09,Regular Air,4.98,4.86,Tony Sayre,New York,501,East,Small Business,Office Supplies,Paper,Xerox 190,Small Box,0.38
420,10/30/2018,Not Specified,6,0.03,Regular Air,5.78,5.37,Tony Sayre,New York,501,East,Small Business,Office Supplies,Paper,Xerox 1950,Small Box,0.36
448,8/20/2018,Medium,22,0.09,Regular Air,65.99,19.99,Brad Thomas,Connecticut,6074,East,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,0.59
449,7/19/2018,High,45,0.02,Regular Air,7.38,5.21,Candace McMahon,Virginia,24658,South,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56
450,3/4/2018,Not Specified,29,0.05,Express Air,34.58,8.99,Matt Collins,Michigan,48001,Central,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.56
450,3/4/2018,Not Specified,35,0.05,Regular Air,15.7,11.25,Matt Collins,Michigan,48001,Central,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6
454,12/26/2018,Low,42,0.09,Regular Air,6.08,1.82,Darrin Martin,South Carolina,29684,South,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,Wrap Bag,0.35
481,10/8/2019,High,44,0.01,Regular Air,115.99,5.26,Art Foster,Illinois,60001,Central,Home Office,Technology,Telephones and Communication,636,Small Box,0.57
483,7/10/2018,High,30,0.08,Regular Air,195.99,3.99,Clay Rozendal,Delaware,19980,East,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58
487,8/18/2019,Critical,19,0.07,Regular Air,10.89,4.5,Valerie Dominguez,Ohio,45999,Central,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59
512,5/19/2018,Low,6,0.06,Regular Air,218.08,18.06,Sam Craven,Georgia,31569,South,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57
512,5/19/2018,Low,48,0.01,Express Air,15.42,10.68,Sam Craven,Georgia,31569,South,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58
513,4/30/2018,High,33,0,Delivery Truck,150.89,60.2,Arthur Prichep,California,91188,West,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,0.77
515,8/28/2017,Not Specified,19,0.08,Regular Air,21.78,5.94,Carlos Soltero,Michigan,49822,Central,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5
515,8/28/2017,Not Specified,21,0.05,Regular Air,6.64,4.95,Carlos Soltero,Michigan,49822,Central,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37
548,9/21/2016,Critical,29,0.02,Regular Air,6.48,5.9,Sung Chung,South Carolina,29941,South,Home Office,Office Supplies,Paper,Xerox 1976,Small Box,0.37
548,9/21/2016,Critical,41,0.04,Regular Air,3.08,0.99,Sung Chung,South Carolina,29941,South,Home Office,Office Supplies,Labels,Avery 481,Small Box,0.37
548,9/21/2016,Critical,26,0.04,Regular Air,125.99,4.2,Sung Chung,South Carolina,29941,South,Home Office,Technology,Telephones and Communication,V3682,Small Box,0.59
549,7/13/2019,Critical,30,0.05,Express Air,38.94,35,Ken Brennan,Washington,98390,West,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8
549,7/13/2019,Critical,5,0.05,Regular Air,6.48,8.74,Ken Brennan,Washington,98390,West,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,0.36
549,7/13/2019,Critical,13,0.03,Regular Air,4.98,7.44,Ken Brennan,Washington,98390,West,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,0.36
610,8/1/2018,Critical,38,0.02,Express Air,6.68,5.41,Joe Elijah,Texas,77037,Central,Home Office,Office Supplies,Paper,Xerox 195,Small Box,0.37
611,1/27/2017,Critical,47,0.04,Regular Air,17.7,9.47,Arthur Prichep,California,91188,West,Home Office,Office Supplies,Storage & Organization,Portfile® Personal File Boxes,Small Box,0.59
612,10/21/2019,Medium,50,0.1,Regular Air,5.28,6.26,Sheri Gordon,Nebraska,68155,Central,Corporate,Office Supplies,Paper,Xerox 1928,Small Box,0.4
612,10/21/2019,Medium,43,0.01,Regular Air,65.99,2.5,Sheri Gordon,Nebraska,68155,Central,Corporate,Technology,Telephones and Communication,6190,Small Box,0.55
613,6/17/2018,High,12,0.03,Regular Air,7.3,7.72,Carl Jackson,Michigan,49634,Central,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38
613,6/17/2018,High,22,0.09,Regular Air,42.76,6.22,Carl Jackson,Michigan,49634,Central,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,0.59
614,12/1/2019,High,24,0.07,Delivery Truck,138.75,52.42,Dave Hallsten,Texas,78702,Central,Corporate,Furniture,Tables,Balt Split Level Computer Training Table,Jumbo Box,0.74
614,12/1/2019,High,41,0,Regular Air,14.34,5,Dave Hallsten,Texas,78702,Central,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,0.49
640,1/23/2017,High,39,0.02,Delivery Truck,120.98,58.64,Tamara Chand,Delaware,19895,East,Consumer,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Jumbo Box,0.75
640,1/23/2017,High,24,0.01,Regular Air,18.97,9.54,Tamara Chand,Delaware,19895,East,Consumer,Office Supplies,Paper,Xerox 1939,Small Box,0.37
643,3/24/2018,High,21,0.07,Express Air,138.14,35,Monica Federle,New Jersey,8989,East,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,0.85
644,5/1/2019,Critical,5,0.01,Delivery Truck,320.98,58.95,Bill Eplett,North Carolina,28633,South,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57
645,12/3/2016,High,42,0.05,Regular Air,12.95,4.98,Harold Engle,Michigan,49634,Central,Consumer,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box,0.4
646,11/22/2016,High,18,0.01,Regular Air,9.31,3.98,Duane Huffman,Delaware,19810,East,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Forged Steel Scissors with Black Enamel Handles,Small Pack,0.56
678,2/27/2017,Low,44,0.07,Regular Air,4.98,8.33,Dorothy Badders,Delaware,19895,East,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38
706,9/8/2018,Critical,42,0.05,Regular Air,1.76,0.7,Sarah Jordon,Mass,1441,East,Consumer,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56
710,1/2/2017,Low,11,0.09,Regular Air,41.32,8.66,Susan MacKendrick,Ohio,43002,Central,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,0.76
710,1/2/2017,Low,29,0.02,Delivery Truck,145.45,17.85,Susan MacKendrick,Ohio,43002,Central,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56
710,1/2/2017,Low,42,0.01,Regular Air,3.58,5.47,Susan MacKendrick,Ohio,43002,Central,Corporate,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,Small Box,0.37
738,3/1/2017,Not Specified,31,0.08,Regular Air,6.48,5.14,Caroline Jumper,Ohio,43567,Central,Corporate,Office Supplies,Paper,Xerox 23,Small Box,0.37
738,3/1/2017,Not Specified,7,0.04,Regular Air,80.98,4.5,Caroline Jumper,Ohio,43567,Central,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Small Box,0.59
740,7/15/2018,Medium,6,0.09,Regular Air,4.98,0.49,Thomas Boland,Colorado,81124,West,Corporate,Office Supplies,Labels,Avery White Multi-Purpose Labels,Small Box,0.39
769,6/1/2017,Medium,37,0.02,Delivery Truck,115.99,56.14,Roy French,Delaware,19934,East,Consumer,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4
771,6/16/2018,Critical,18,0.08,Regular Air,4.98,4.72,Darrin Van Huff,Alabama,36544,South,Home Office,Office Supplies,Paper,Xerox 1949,Small Box,0.36
772,4/16/2017,High,35,0.08,Regular Air,17.52,8.17,Pamela Stobb,Nebraska,69367,Central,Consumer,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,Medium Box,0.5
772,4/16/2017,High,25,0.1,Regular Air,9.9,1.39,Pamela Stobb,Nebraska,69367,Central,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37
773,9/25/2017,Medium,38,0.06,Regular Air,65.99,8.99,Helen Abelman,Michigan,49822,Central,Home Office,Technology,Telephones and Communication,Talkabout T8367,Small Box,0.56
774,12/3/2018,Critical,17,0.03,Regular Air,4.48,49,Sibella Parks,Connecticut,6703,East,Small Business,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6
775,3/17/2018,Critical,35,0.1,Regular Air,1.26,0.7,Peter McVee,California,94404,West,Small Business,Office Supplies,Rubber Bands,Bagged Rubber Bands,Wrap Bag,0.81
775,3/17/2018,Critical,8,0.1,Regular Air,4.26,1.2,Peter McVee,California,94404,West,Small Business,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Wrap Bag,0.44
801,2/17/2019,Critical,20,0.03,Regular Air,2.74,3.5,Thais Sissman,Wisconsin,53235,Central,Corporate,Office Supplies,Pens & Art Supplies,Rogers Handheld Barrel Pencil Sharpener,Small Pack,0.58
802,1/4/2018,Critical,2,0.09,Regular Air,15.99,9.4,Kean Nguyen,Maryland,21794,South,Corporate,Technology,Office Machines,"AT&T Black Trimline Phone, Model 210",Small Box,0.49
802,1/4/2018,Critical,33,0.08,Regular Air,11.7,5.63,Kean Nguyen,Maryland,21794,South,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Binding Cases,Small Box,0.4
805,7/4/2018,Not Specified,39,0.02,Regular Air,4.97,5.71,Toby Swindell,Florida,32046,South,Small Business,Furniture,Office Furnishings,"DAX Value U-Channel Document Frames, Easel Back",Medium Box,0.54
807,11/23/2017,Medium,45,0.01,Regular Air,4.28,6.18,Neola Schneider,New Jersey,7837,East,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4
807,11/23/2017,Medium,32,0.04,Regular Air,3.95,2,Neola Schneider,New Jersey,7837,East,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53
832,4/19/2019,Low,7,0.02,Regular Air,6.48,5.9,Alice McCarthy,Idaho,83201,West,Corporate,Office Supplies,Paper,Xerox 1976,Small Box,0.37
833,2/13/2016,Medium,1,0.03,Regular Air,12.53,7.17,Olvera Toch,Colorado,80621,West,Home Office,Office Supplies,Binders and Binder Accessories,GBC ProClick Spines for 32-Hole Punch,Small Box,0.38
834,5/23/2016,Medium,15,0.01,Delivery Truck,115.99,56.14,Eugene Moren,Washington,99403,West,Home Office,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4
835,10/7/2018,Not Specified,18,0.02,Regular Air,6.48,5.14,Duane Huffman,Delaware,19810,East,Small Business,Office Supplies,Paper,Xerox 23,Small Box,0.37
837,6/15/2016,Not Specified,11,0.01,Regular Air,5.84,0.83,Sean O'Donnell,Maryland,21794,South,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter® Smear-Safe Highlighters,Wrap Bag,0.49
868,6/9/2019,Not Specified,32,0,Regular Air,21.78,5.94,Carlos Daly,Delaware,19810,East,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5
868,6/9/2019,Not Specified,31,0.04,Regular Air,47.98,3.61,Carlos Daly,Delaware,19810,East,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71
870,6/19/2017,Not Specified,23,0.04,Regular Air,70.97,3.5,Valerie Dominguez,Ohio,45999,Central,Corporate,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Small Box,0.59
871,11/14/2018,Low,17,0.06,Regular Air,6.24,5.22,David Kendrick,Georgia,39901,South,Home Office,Furniture,Office Furnishings,Eldon Expressions Mahogany Wood Desk Collection,Small Box,0.6
896,3/8/2017,Critical,50,0.01,Regular Air,24.92,12.98,Edward Nazzal,Virginia,20101,South,Home Office,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39
898,6/2/2017,High,26,0.04,Delivery Truck,296.18,54.12,Sanjit Jacobs,Idaho,83877,West,Consumer,Furniture,Tables,Hon 94000 Series Round Tables,Jumbo Box,0.76
898,6/2/2017,High,40,0.03,Regular Air,15.98,6.5,Sanjit Jacobs,Idaho,83877,West,Consumer,Technology,Computer Peripherals,Logitech Access Keyboard,Small Box,0.48
