,LoanID,FirstName,LastName,Gender,Age,Married,Dependents,EducationLevel,SelfEmployed,Income,CoapplicantIncome,LoanAmount,LoanTerm,CreditHistory,PropertyArea,ZIPCode,City,Latitude,Longitude,TotalIncome,IncomeRatio,DTI,IncomeToLoanRatio,LoanStatus
64,LP002689,Ellen,Parker,Male,36,Yes,0,Graduate,No,4139,1753.6270528996215,38752,360.0,1.0,Urban,33013,Miami,25.5,-80.31,5892.627052899621,2.3589058387992283,6.575237905651716,0.10680463447991123,Y
65,LP002287,Angel,Hernandez,Female,21,Yes,0,Graduate,No,1541,1618.277661644614,39970,360.0,1.0,Rural,33184,Miami Gardens,25.56,-80.27,3159.277661644614,0.9516589010651134,12.647622860834177,0.03855295088939481,N
67,LP002287,Henry,Henderson,Male,38,No,0,Graduate,No,2566,743.1634101640198,43094,180.0,1.0,Semiurban,33141,Miami,25.85,-80.18,3309.1634101640198,3.4481673849490027,13.018692632417405,0.05954287040259891,N
68,LP002379,Stanley,Collins,Male,31,Yes,2,Graduate,No,2604,2554.863294572845,60393,360.0,1.0,Semiurban,33167,Miami,25.9,-80.21,5158.863294572845,1.018833834160602,11.704379855086758,0.0431168659138325,Y
69,LP002398,Nelson,Brooks,Male,21,No,3+,Graduate,Yes,1866,1059.5240322733155,88554,360.0,0.0,Rural,33055,Miami,25.68,-80.4,2925.5240322733152,1.7595075106408333,30.259105691065013,0.021071650386765287,N
76,LP001562,Charlotte,Myers,Male,38,Yes,0,Graduate,No,3249,2209.233494470588,105475,180.0,1.0,Semiurban,33128,Miami,25.71,-80.31,5458.233494470588,1.469980437871441,19.320477885188623,0.030803215897455345,N
77,LP002250,Donovan,Hughes,Male,42,No,2,Graduate,No,3607,2119.77835191994,174463,360.0,0.0,Urban,33039,Miami,25.93,-80.13,5726.77835191994,1.70079065392882,30.459104609297658,0.020674752384446073,N
80,LP002926,Eduardo,Alexander,Male,25,No,0,Graduate,No,1843,1414.298762336847,16719,180.0,1.0,Rural,33016,Miami,25.6,-80.36,3257.298762336847,1.3021985527331073,5.131205337354993,0.11022727272727273,Y
83,LP001751,Lucas,Martinez,Female,27,Yes,0,Graduate,No,2842,2339.329065883666,60858,360.0,1.0,Rural,33010,Miami,25.7,-80.18,5181.329065883666,1.2143591435193803,11.743368517572666,0.04669810545687573,N
85,LP002187,Lewis,Wallace,Male,22,Yes,0,Graduate,No,5558,1063.8699505193001,52239,360.0,1.0,Semiurban,33122,Miami,25.85,-80.16,6621.8699505193,5.219416697118326,7.887668094087207,0.10639356814701378,Y
88,LP001910,Casey,Griffin,Male,43,No,0,Graduate,No,2148,1448.3319472966843,60673,360.0,1.0,Semiurban,33055,Miami,25.53,-80.28,3596.331947296684,1.482062134907384,16.866111020306153,0.035402314005999275,N
89,LP001868,Terence,Bryant,Male,26,Yes,0,Graduate,No,2873,1378.2933136398954,68478,180.0,1.0,Semiurban,33157,Miami,25.71,-80.3,4251.293313639895,2.0829507194653742,16.103780936358767,0.04195446779304604,N
91,LP001925,Amado,Ford,Female,33,Yes,0,Graduate,No,1921,1884.383145898119,14756,360.0,1.0,Semiurban,33168,Miami,25.73,-80.27,3805.383145898119,1.0188910430112679,3.87664600078464,0.13017550992749205,N
94,LP002236,Donovan,Collins,Female,32,Yes,1,Graduate,No,1752,1101.6887657840307,24508,360.0,1.0,Urban,33194,Miami,25.68,-80.36,2853.6887657840307,1.5888436106033037,8.58517408053377,0.07148394467338529,Y
95,LP001872,Colin,Clarke,Male,38,Yes,0,Not Graduate,No,5639,504.6184649024485,15114,360.0,1.0,Semiurban,33173,Hialeah,25.73,-80.24,6143.618464902449,11.15267813861972,2.4597133388069436,0.37307310618590805,N
98,LP002690,Xavier,Fisher,Female,20,No,0,Graduate,No,3295,1750.9050135626194,52800,360.0,1.0,Semiurban,33136,Miami,25.73,-80.18,5045.905013562619,1.8808097325433133,10.461857288399488,0.06240412113406943,N
102,LP001870,Isaac,Andrews,Female,23,Yes,1,Graduate,No,2267,2199.849314926945,77298,84.0,1.0,Urban,33145,Hialeah,25.65,-80.34,4466.849314926945,1.0300568896854487,17.300941583179583,0.029327675649102835,N
103,LP002211,Herbert,Parker,Male,37,Yes,0,Graduate,No,4796,2356.802794336275,85756,360.0,1.0,Rural,33129,North Miami Beach,25.56,-80.16,7152.802794336275,2.0340971736570026,11.987470505602102,0.05592546381053442,N
104,LP002142,Hank,Flores,Female,41,Yes,0,Graduate,No,3704,988.8395736444169,42305,180.0,1.0,Semiurban,33126,Miami,25.73,-80.4,4692.839573644417,3.7420205239547224,9.012877269504402,0.08755259301281142,Y
105,LP001531,Stephen,Spencer,Male,32,No,0,Graduate,No,3512,1738.0898330805703,131914,360.0,1.0,Urban,33155,Homestead,25.88,-80.14,5250.08983308057,2.019447145969999,25.12126133683228,0.026623204336125535,Y
106,LP001904,Guillermo,Young,Male,34,No,2,Graduate,No,4039,2090.747305214675,58017,360.0,1.0,Rural,33129,Miami Beach,25.95,-80.46,6129.747305214675,1.9309215744802783,9.46328352999512,0.0696163259678031,N
108,LP001253,Florencio,Armstrong,Male,27,No,0,Graduate,No,2812,1717.9795473937916,198407,360.0,1.0,Rural,33165,Miami,25.73,-80.18,4529.979547393792,1.6358542510080338,43.78898600725823,0.014172815612273699,N
111,LP001674,Ava,Gonzales,Male,34,No,2,Graduate,No,4369,3075.969733160511,98568,360.0,1.0,Urban,33176,Miami,25.73,-80.21,7444.969733160511,1.4199034696101411,13.237765332436007,0.04432428045328653,N
114,LP002035,Sean,Francis,Female,35,Yes,0,Not Graduate,No,4226,1564.4770212131014,168606,240.0,0.0,Rural,33143,Miami,25.48,-80.17,5790.477021213102,2.699496666342146,29.112780622702573,0.02506420255386787,N
115,LP002948,Aileen,Hughes,Male,36,No,0,Not Graduate,No,2431,1479.3733618017945,52837,300.0,1.0,Urban,33157,Hialeah,25.75,-80.41,3910.3733618017945,1.6421532991117709,13.508554441772944,0.04600855444944926,Y
116,LP002868,Eduardo,Newton,Female,21,No,2,Graduate,No,3114,1050.2836871197815,17320,360.0,1.0,Semiurban,33158,Miami,25.76,-80.63,4164.2836871197815,2.962092951838219,4.158180162748162,0.1797817677963166,Y
122,LP001253,Chloe,Wood,Male,23,Yes,3+,Graduate,Yes,1264,3103.435182695414,57851,360.0,0.0,Urban,33145,Miami,25.46,-80.51,4367.4351826954135,0.40715941084733387,13.242957164424437,0.021848855700753646,N
129,LP001253,Oscar,Rivera,Female,37,Yes,0,Graduate,No,4028,1586.0214748722615,103520,360.0,1.0,Semiurban,33015,Miami,25.76,-80.28,5614.021474872261,2.538087898479264,18.43626074508558,0.03890997961766212,N
130,LP001639,Guillermo,Ortiz,Male,35,Yes,0,Not Graduate,No,3010,704.5278578108648,31804,360.0,1.0,Rural,33032,Miami,25.65,-80.4,3714.5278578108646,4.266309213274055,8.559752804205445,0.09463920767174973,Y
131,LP001195,Mateo,Reed,Female,37,Yes,1,Not Graduate,Yes,4018,654.4254645071387,71023,360.0,0.0,Rural,33144,Miami,25.75,-80.16,4672.425464507139,6.130369077163368,15.197203965141256,0.0565724262221221,Y
133,LP001238,Evan,Alexander,Male,41,Yes,0,Graduate,No,2531,903.8561597832412,121934,360.0,1.0,Rural,33142,Miami,25.5,-80.24,3434.8561597832413,2.7971296571670603,35.48868006386288,0.02075696067576988,N
139,LP002626,Reginald,Roberts,Male,32,Yes,2,Graduate,No,1287,1653.7007258863046,59246,360.0,1.0,Rural,33183,Miami,25.76,-80.41,2940.7007258863046,0.7777841514577486,20.14005010049069,0.021722618866778065,Y
140,LP002494,Herbert,Flores,Female,20,Yes,0,Graduate,No,1331,1743.5449075151864,-10637,360.0,1.0,Semiurban,33033,Miami,25.85,-80.5,3074.5449075151864,0.7629496920751601,-3.458574112837101,-0.1251410304625799,Y
148,LP002348,Karl,Lewis,Male,43,No,0,Graduate,No,5841,1346.5074037710606,-399,360.0,1.0,Semiurban,33010,Miami,25.94,-80.3,7187.50740377106,4.3346700609241156,-0.05550526383136036,-14.675879396984925,Y
151,LP002785,Amelia,Brooks,Male,38,Yes,0,Not Graduate,Yes,6638,1071.9695526951118,9393,360.0,1.0,Urban,33013,Miami,25.72,-80.16,7709.969552695112,6.186568839093808,1.2181347541071526,0.7066212476048541,Y
152,LP001267,Nelson,Ortiz,Male,39,Yes,0,Graduate,No,3005,594.3505333019136,10552,360.0,1.0,Urban,33016,Miami,25.65,-80.14,3599.350533301914,5.047446557801448,2.930825735549329,0.28475315076281627,Y
157,LP001432,Daphne,Alexander,Male,47,No,1,Graduate,No,1794,2246.3217521572624,36326,360.0,1.0,Urban,33031,Miami,25.78,-80.51,4040.3217521572624,0.7982835560942232,8.988643376541138,0.049384755140804364,Y
162,LP001498,Evan,Rivera,Female,43,Yes,1,Graduate,No,2349,2179.8270652025117,52158,180.0,1.0,Urban,33158,Homestead,25.52,-80.45,4528.827065202511,1.0771142918578331,11.51434685016352,0.04503537261067122,Y
164,LP002377,Trevor,Wilson,Male,35,No,0,Graduate,No,2560,3044.2165596546765,3119,360.0,0.0,Rural,33179,Key Biscayne,25.81,-80.21,5604.2165596546765,0.8406627081688735,0.5564459404566081,0.8205128205128205,Y
168,LP002862,Preston,Parker,Female,37,Yes,0,Not Graduate,Yes,1701,1446.5693552589037,49596,300.0,1.0,Semiurban,33181,Homestead,25.75,-80.18,3147.5693552589037,1.1750732314278436,15.75191599866212,0.03429642921950925,N
169,LP001385,Horace,Carter,Female,20,Yes,2,Graduate,No,3861,292.2253373439114,5539,360.0,1.0,Rural,33126,Miami,25.94,-80.21,4153.225337343912,13.16734779802333,1.3333412490188778,0.6969314079422383,N
171,LP002229,Horace,Parker,Female,38,Yes,1,Graduate,No,4822,1565.8847056784039,16710,360.0,1.0,Semiurban,33182,Miami,25.61,-80.29,6387.884705678403,3.077444040729372,2.615479973390074,0.2885524504817186,N
175,LP002151,Boyd,Rivera,Female,40,Yes,2,Graduate,No,6717,2106.1119624292705,73709,360.0,1.0,Semiurban,33173,Miami,25.73,-80.24,8823.11196242927,3.1877755523992333,8.35313517256279,0.09112739112739113,N
179,LP001658,Amado,Ramirez,Male,36,Yes,0,Graduate,No,2806,1629.2727804448687,160665,360.0,1.0,Urban,33168,Homestead,25.71,-80.2,4435.272780444869,1.7211843524948622,36.21621301291769,0.01746480275851767,Y
182,LP002170,Caitlin,Bryant,Male,40,No,0,Graduate,No,2710,1762.383323413244,191838,360.0,1.0,Semiurban,33142,Hialeah,25.9,-80.63,4472.3833234132435,1.5368184353442018,42.884319569919036,0.014126428932594519,Y
187,LP002370,Victor,Ingram,Male,33,Yes,2,Graduate,Yes,1934,1185.3293417791497,27835,360.0,0.0,Rural,33054,Miami,25.82,-80.46,3119.3293417791497,1.6302386967008347,8.920532723039113,0.06947837332950137,N
189,LP002832,Stuart,Perez,Male,45,Yes,2,Graduate,No,3154,1915.0759058416054,17764,360.0,1.0,Rural,33183,Opa Locka,25.9,-80.34,5069.075905841605,1.6460725748830167,3.5036950787132786,0.17754010695187167,N
190,LP002586,Richard,Rivera,Female,40,Yes,2,Graduate,No,2204,1881.5910478577875,113512,360.0,1.0,Urban,33182,Hialeah,25.82,-80.45,4085.5910478577875,1.1707269098660305,27.77669668206795,0.01941627831173522,N
191,LP001758,Malcolm,Brown,Male,34,No,0,Not Graduate,No,1759,1524.758325039519,65566,360.0,1.0,Rural,33018,Hialeah,25.91,-80.36,3283.758325039519,1.152869344464786,19.960677015473024,0.026827519941433953,Y
198,LP001248,Santiago,Lloyd,Male,40,No,0,Graduate,No,2766,2579.318673059636,41172,360.0,1.0,Urban,33156,Miami,25.56,-80.31,5345.318673059635,1.0719606182286745,7.7009999810650545,0.06717994802419061,N
200,LP002500,Norman,Roberts,Female,37,No,0,Graduate,No,2183,1600.0767367965389,44114,180.0,1.0,Semiurban,33145,Miami,25.86,-80.18,3783.076736796539,1.3634574469976892,11.657797414897379,0.049484302391476824,Y
202,LP002418,Virgil,Alexander,Female,26,Yes,2,Graduate,No,6796,1720.488491823592,75712,300.0,1.0,Rural,33149,Miami,25.78,-80.15,8516.488491823591,3.9477464021853095,8.889005259317948,0.08976001479270403,Y
203,LP002231,Derek,Parker,Male,34,No,1,Not Graduate,No,4104,304.4115316325142,11938,360.0,1.0,Semiurban,33155,Miami,25.73,-80.29,4408.411531632514,13.437606556841244,2.707390751432118,0.3437473825278499,Y
206,LP001011,Elizabeth,Parks,Male,32,Yes,2,Graduate,No,3235,1723.518386887351,60621,360.0,1.0,Semiurban,33128,Key Biscayne,25.81,-80.36,4958.518386887351,1.8758860587383908,12.223162668431282,0.05336346540859754,N
209,LP002739,Sherman,Hamilton,Female,37,Yes,3+,Graduate,No,3103,1091.257229633001,94025,360.0,1.0,Urban,33162,Miami,25.76,-80.24,4194.257229633001,2.840905892692154,22.412213328865477,0.03300151022057729,N
210,LP001529,Sherman,Turner,Female,34,Yes,0,Graduate,No,1332,2089.097500723437,90879,360.0,1.0,Urban,33129,Miami,25.82,-80.41,3421.097500723437,0.6372908438668341,26.556519789628446,0.01465669014084507,Y
212,LP002051,Mason,Torres,Female,20,Yes,0,Graduate,No,4843,1237.1341589242047,177770,360.0,1.0,Semiurban,33170,Miami,25.73,-80.36,6080.134158924205,3.911530883057137,29.233033732551092,0.027242913636082375,N
213,LP001482,Santiago,Ortiz,Male,35,Yes,2,Graduate,No,3706,2724.041243657067,109926,360.0,0.0,Semiurban,33184,Miami,25.85,-80.41,6430.041243657067,1.359979416321224,17.093032968560102,0.03371328245108117,Y
214,LP001784,Harper,Bryant,Male,35,No,0,Graduate,No,1721,1416.5552968107236,15707,360.0,1.0,Rural,33185,Miami,25.75,-80.35,3137.5552968107236,1.2140619867683322,5.004531867245046,0.10956200662083015,N
215,LP001066,Russell,Montgomery,Male,28,Yes,0,Graduate,No,4610,1218.599689695698,93923,120.0,0.0,Rural,33016,Key Biscayne,25.79,-80.3,5828.5996896956985,3.7799288069270003,16.111397865966115,0.04908223670201439,N
216,LP001155,Everett,Kelly,Male,32,No,2,Graduate,Yes,1542,668.2216958352922,62164,360.0,1.0,Urban,33150,Miami,25.9,-80.15,2210.221695835292,2.30416917083859,28.11296584014271,0.024804954556422423,Y
217,LP002926,Mariano,King,Male,37,No,0,Not Graduate,No,1869,1940.8632234167146,72255,360.0,1.0,Rural,33054,Miami,25.77,-80.24,3809.8632234167144,0.9624776747723192,18.96027114172263,0.025866364038972543,N
220,LP001715,Herbert,Hall,Female,37,No,0,Graduate,No,2797,944.7509113316054,140882,360.0,1.0,Urban,33010,Miami,25.96,-80.3,3741.7509113316055,2.957438334436135,37.64129736057606,0.01985335349190463,N
224,LP002098,Herbert,Fox,Male,20,Yes,0,Graduate,No,1805,2764.4955894433797,31679,360.0,1.0,Semiurban,33034,Hialeah,25.89,-80.51,4569.49558944338,0.6526859080485093,6.931195836436207,0.056976010101010104,Y
225,LP001519,Isaac,Mendez,Female,35,Yes,1,Graduate,No,2925,1191.2494441523345,80040,360.0,1.0,Rural,33170,Miami,25.82,-80.36,4116.249444152334,2.4533456604625354,19.440162925683207,0.036543771317199936,N
229,LP002936,Preston,Avery,Female,37,Yes,1,Graduate,No,2517,2033.0603793601213,59290,360.0,1.0,Urban,33165,Miami,25.75,-80.29,4550.060379360121,1.2374263937984982,13.027733112241453,0.04245163684201649,Y
232,LP002175,Braulio,Turner,Male,32,No,2,Not Graduate,Yes,6016,1123.450818164732,104416,360.0,1.0,Urban,33130,Miami,25.77,-80.14,7139.4508181647325,5.350167301953669,14.623166332071653,0.057615139297240874,N
239,LP002205,Russell,Reed,Male,27,Yes,2,Graduate,No,8464,2156.420534515029,48893,360.0,1.0,Urban,33172,Miami,25.6,-80.36,10620.42053451503,3.9232035964201297,4.603244908825412,0.17310917494989161,Y
243,LP002484,Gabrielle,Fisher,Male,24,No,3+,Graduate,Yes,1719,2562.3545038386924,41940,360.0,1.0,Urban,33016,Miami,25.81,-80.24,4281.354503838693,0.6706056448398968,9.793677744895962,0.04098614720679049,N
245,LP002912,Frank,Knight,Male,26,No,0,Not Graduate,No,2296,2542.5579598038435,22073,360.0,1.0,Rural,33054,Hialeah,25.77,-80.27,4838.557959803844,0.9026725697955258,4.560953744811574,0.10401377185829483,Y
246,LP002484,Fernando,Gonzales,Male,19,Yes,2,Not Graduate,No,3270,2072.7481938303886,83937,180.0,1.0,Urban,33173,Miami,25.76,-80.36,5342.748193830388,1.5768548996105611,15.707514081017003,0.038957325645119015,Y
249,LP002255,Isaac,Price,Male,34,Yes,0,Not Graduate,No,1381,2405.0348008872547,108237,360.0,1.0,Rural,33170,Hialeah,25.56,-80.18,3786.0348008872547,0.5739734103142395,28.580936191724838,0.012758920157430846,N
250,LP001708,Abraham,Bennett,Male,34,Yes,2,Graduate,No,3082,1723.03538440227,116184,360.0,0.0,Urban,33155,Homestead,25.92,-80.49,4805.03538440227,1.7876663251134732,24.174603536434404,0.02652666006799501,N
253,LP002158,Elias,Price,Male,38,Yes,0,Not Graduate,No,2963,1983.8350993382824,102591,360.0,1.0,Rural,33186,Miami Beach,25.56,-80.41,4946.835099338283,1.4928192276465813,20.734522865105262,0.028881394260761074,Y
254,LP001098,Alex,Rivera,Male,22,Yes,1,Graduate,No,5234,2172.7617763368576,114771,360.0,1.0,Rural,33173,Homestead,25.9,-80.34,7406.761776336858,2.40780754219542,15.493343801446368,0.04560345728923431,N
257,LP002281,Sidney,Price,Male,37,No,0,Graduate,No,4123,2320.859700642261,31850,360.0,1.0,Semiurban,33145,Miami,25.76,-80.29,6443.859700642261,1.7757317545325915,4.941922940048795,0.12944648519669713,Y
263,LP001206,Wallace,Bryant,Male,39,Yes,0,Not Graduate,No,2185,2409.6455787140926,63724,360.0,1.0,Urban,33194,Hialeah,25.68,-80.21,4594.645578714093,0.9063962032799286,13.866169378934266,0.03428795606120047,Y
264,LP002555,Santiago,Johnson,Male,35,Yes,0,Graduate,No,2375,2233.6180565754516,57256,360.0,0.0,Semiurban,33158,Miami,25.56,-80.51,4608.618056575451,1.062821448619136,12.42098570798646,0.041479644410290444,N
266,LP001953,Russell,Rivera,Male,34,No,1,Graduate,No,3039,2193.345178950901,62985,360.0,1.0,Urban,33012,Miami,25.81,-80.18,5232.345178950901,1.384923406377169,12.03532307659214,0.048248817197472454,Y
269,LP001482,Elliot,Rivera,Male,25,No,0,Graduate,No,1854,2378.5303264633503,175396,360.0,1.0,Urban,33035,Miami,25.74,-80.21,4232.53032646335,0.7791453546026305,41.43019807927633,0.010570306219604668,Y
274,LP001006,Bianca,Gilbert,Male,42,No,2,Graduate,No,1795,1823.0521846663837,-9692,300.0,1.0,Urban,33183,Key Biscayne,25.83,-80.14,3618.0521846663837,0.9840727228581471,-2.678049253079074,-0.18522340315756888,N
275,LP002842,Elliot,Alexander,Female,31,Yes,0,Graduate,No,1801,1212.6194258079652,101370,360.0,1.0,Semiurban,33131,Miami,25.81,-80.5,3013.619425807965,1.4839907484185062,33.62613507104011,0.017766422349587162,N
284,LP001616,Ava,Terry,Male,37,Yes,0,Graduate,Yes,8129,2791.9305947109815,133416,360.0,0.0,Rural,33194,Miami,25.92,-80.26,10920.930594710982,2.9105628386878,12.215422799391124,0.06092926688502964,Y
287,LP001603,Gordon,Diaz,Male,19,Yes,0,Not Graduate,No,1586,893.2767315982555,11764,360.0,1.0,Urban,33109,Miami,25.89,-80.51,2479.2767315982555,1.773500242106818,4.743019135779838,0.13480662983425415,Y
293,LP002231,Gary,Cooper,Male,33,Yes,0,Graduate,No,3312,1101.5121068720528,85423,360.0,1.0,Rural,33127,Miami,25.88,-80.36,4413.512106872053,3.004048644324193,19.350496256884735,0.038771305487919086,Y
296,LP001018,Jordan,Price,Male,32,No,3+,Graduate,No,4490,808.6795206447532,14138,360.0,1.0,Rural,33031,Hialeah,25.81,-80.51,5298.679520644753,5.545403935157682,2.667708480281839,0.31756135511705214,Y
298,LP001586,Jesse,White,Female,26,Yes,0,Not Graduate,No,3167,927.1538183936694,93942,360.0,1.0,Urban,33156,Hialeah,25.56,-80.21,4094.1538183936696,3.412149944586815,22.93979766475509,0.033711931703266876,Y
300,LP002916,Mariano,Fisher,Male,21,No,2,Graduate,No,6804,2234.4780230564247,94328,180.0,1.0,Urban,33129,Key Biscayne,25.57,-80.36,9038.478023056425,3.0436443256540406,10.435115806399832,0.07213052189676558,Y
304,LP001199,Steven,Baker,Male,31,Yes,1,Graduate,Yes,2600,1092.5651233124922,-17798,360.0,1.0,Rural,33157,Miami,25.95,-80.21,3692.5651233124922,2.377544733800948,-4.818650654801034,-0.14609203798392986,Y
305,LP001720,Elliot,Rivera,Male,31,No,2,Graduate,No,4210,1365.166236755394,164208,360.0,1.0,Rural,33140,Miami Beach,25.93,-80.3,5575.1662367553945,3.0816161948187433,29.448189495790167,0.02563805881529027,N
306,LP002281,Donald,Gonzalez,Male,33,Yes,2,Graduate,No,4376,962.1533584885688,42060,360.0,1.0,Rural,33145,Miami,25.76,-80.31,5338.153358488569,4.543409376536932,7.877653473491259,0.10403937138917287,Y
309,LP001586,Boyd,Brown,Male,23,Yes,3+,Graduate,No,3516,894.5222465738258,18848,360.0,1.0,Rural,33185,Homestead,25.7,-80.2,4410.522246573826,3.926200620310492,4.272448136159384,0.18653509469998408,N
312,LP001870,Isaac,Wright,Male,20,No,1,Graduate,No,3560,1314.1164138942518,85901,360.0,1.0,Rural,33101,Miami Beach,25.86,-80.49,4874.116413894251,2.7069846915364093,17.62029718001793,0.04144257409606295,Y
313,LP001245,Perry,Ortiz,Male,40,No,3+,Graduate,No,3474,628.4931232410065,48489,360.0,1.0,Rural,33167,Homestead,25.79,-80.18,4102.493123241006,5.518725895072171,11.816517913816458,0.07164363786347701,Y
314,LP002945,Russell,Ford,Male,26,Yes,0,Not Graduate,No,4281,2535.410828845277,66354,180.0,1.0,Urban,33132,North Miami Beach,25.9,-80.28,6816.410828845277,1.687818058224015,9.733020594746662,0.06451661517594756,Y
320,LP001504,Perry,Terry,Male,42,No,0,Graduate,No,1187,1774.1182451711693,80001,360.0,1.0,Rural,33030,Homestead,25.7,-80.32,2961.1182451711693,0.6686878483892441,27.008037282244636,0.014837129071773206,N
321,LP001935,Noel,Butler,Male,37,Yes,1,Graduate,No,4937,1217.0878539914945,37887,180.0,1.0,Urban,33170,North Miami Beach,25.68,-80.2,6154.087853991495,4.053073827000391,6.155395487235941,0.13030510979729729,N
327,LP002936,Derek,Robinson,Male,43,Yes,2,Graduate,No,3679,1544.6988841454029,156298,360.0,1.0,Urban,33157,Miami Beach,25.92,-80.32,5223.698884145403,2.3801531059745002,29.915216831785983,0.02353821841470515,N
329,LP002418,Eduardo,Bailey,Male,37,No,3+,Graduate,No,2938,2761.710174743155,68152,180.0,1.0,Rural,33131,Miami,25.89,-80.41,5699.710174743155,1.063448503161625,11.955001729774937,0.0431088873563893,N
